0	主研项目(课题负责)
1	面向基础模型深度复杂推理的关键技术研究
2	 博士理论课题
3	基础模型复杂推理研究
4	子课题/科技部重点研发计划
6	清华大学、天津大学、智谱AI
8	论文《Glm-4.5: Agentic, reasoning, and coding (arc) foundation models》
10	论文《A Survey of Post-Training Scaling in Large Language Models》
14	论文《
23	》（在审）
32	AAAI在投
34	面向医疗大数据分析与利用的自然语言处理技术研究
36	 博士应用课题
37	支持卫生健康数据要素的医疗知识图谱
38	子课题
39	论文《中文电子病历命名实体识别的研究与进展》
42	电子学报
43	论文《KrNER：A Novel Named Entity Recognition Method Based on Knowledge Enhancement and 
48	论文《KLDP: A Data Profiling Technique Based on Knowledge Graph and LLM》
51	面向数据和知识双轮驱动的智慧医疗大模型研究 AiMed
53	报告《ChatGPT创造了AI狂潮》
54	 微软邀约
55	论文《AiMed: Artificial Intelligence large language model for chinese Medicine》
60	软著
61	论文《Towards Artificial Intelligence for Science
65	SCI一区
68	论文《Large Language Models Driven Reliable Clinical Decision-Making》
70	论文《Toward a Large Language Model-Driven Medical Knowledge Retrieval and QA System: 
72	  SCI一区
75	负责选择课题、课题调研、文献综述、理论创新、相关实验和论文书写
152	杜晋华
155	唐杰教授 
156	大语言模型方向四年级博士2027-2028毕业（
168	科研经历
170	竞赛获奖
172	评奖评优
173	国家奖学金、国家励志奖学金、清华大学优秀研究生干部、金奖支队队长、硕博论坛卓越奖
175	第一名
177	全区公安机关外聘专家、北京市优秀本科毕业生、北京市优秀本科毕业论文、北地先锋“十佳学生”
178	国家级竞赛
179	一等奖：美国大学生数学建模、青创北京2024年“挑战杯”首都大学生创业计划竞赛主赛道金奖
180	二等奖：全国高校计算机能力挑战赛、Robocup机器人世界杯中国赛
181	省部级竞赛
182	一等奖：蓝桥杯全国软件和信息技术专业人才大赛、移动应用创新赛
183	其他有代表性共计50余项目竞赛获奖，参见抬头靠右二维码或个人主页
200	学历技能
204	               计算机科学与技术系工学博士                        清华大学
205	专业主修：高级机器学习（A）、大数据分析与处理（A）、计算语言学（A）、信息检索的前沿研究（A）、网络计算与区块链技术（A）、数智安全与标准化（A）、数据挖掘原理与算法、知识工程、人工智能原理等
206	研究方向：大模型、自然语言处理、机器学习、大数据分析
207	主要成果：论文13篇
208	：ML方向CCF-A 1篇，NLP方向CCF-A 1篇，CCF 
210	-2篇，LLM方向CCF A-2篇，SCI一区-2篇，三区-1篇，
211	完整训练5个大模型：GLM、LogicGLM、MalayGLM、AiMed、公安大模型
214	               计算机科学与技术系工学学士              中国地质大学（北京）
215	专业主修：C++程序设计（100）、科学工程与计算（100）、高性能计算（99）、人工智能（97.9）、操作系统原理（97）、数据结构（94）、软件工程（优秀）等
216	研究方向：机器学习、数值分析、机器人（多智能体）
217	主要成果：论文6篇
218	：机器学习与数值计算/建模方向3篇论文（2篇EI，1篇核心），机器学习与智能控制、机器人方向3篇论文（1篇SCI，1篇EI，1篇核心）
219	英语水平：IELTS(7.0)、CET6(525)、CET4(580)
220	相关技能：掌握 Python、C/C++、熟悉 JAVA、Lua、Go 等编程语言，熟悉使用 MATLAB 进行数值分析与计算
240	绩点
243	性别：男
244	院系：计算机系
245	排名
248	年龄：2
250	面貌：中共党员
251	职务：
